,Name,Label,Price,Kms_driven,Fuel_type,Owner,Year,Company
513,Renault Kwid RXL,PLATINUM,385499,3230,Petrol,1st Owner,2017,Renault
514,Maruti Suzuki Swift,PLATINUM,491599,62059,Petrol,3rd Owner,2016,Maruti
515,Maruti Suzuki Baleno,PLATINUM,725699,28188,Petrol,2nd Owner,2019,Maruti
516,Maruti Suzuki Wagon,GOLD,350000,55000,Petrol,2nd Owner,2013,Maruti
517,Maruti Suzuki SX4,GOLD,210000,79000,Petrol,2nd Owner,2009,Maruti
518,Tata Tiago XZA,GOLD,460000,55000,Petrol,2nd Owner,2017,Tata
519,BMW 5 Series,GOLD,990000,49000,Petrol,3rd Owner,2010,BMW
520,Tata Indica Vista,GOLD,190000,56000,Petrol,2nd Owner,2009,Tata
521,Maruti Suzuki Ertiga,GOLD,625000,83000,Petrol,2nd Owner,2014,Maruti
522,Maruti Suzuki Baleno,GOLD,590000,39226,Petrol,2nd Owner,2016,Maruti
523,Maruti Suzuki Swift,GOLD,740000,33901,Petrol,2nd Owner,2019,Maruti
524,Hyundai Grand i10,PLATINUM,640099,32877,Petrol,2nd Owner,2019,Hyundai
525,Maruti Suzuki Ignis,PLATINUM,575099,17283,Petrol,2nd Owner,2019,Maruti
526,Maruti Suzuki Ertiga,PLATINUM,1081899,86033,Diesel,1st Owner,2018,Maruti
527,Volkswagen Polo,PLATINUM,726399,17419,Petrol,2nd Owner,2018,Volkswagen
528,Maruti Suzuki Eeco,PLATINUM,480399,24416,Petrol,2nd Owner,2019,Maruti
529,Renault Kwid RxL,PLATINUM,369599,26700,Petrol,2nd Owner,2017,Renault
530,Maruti Suzuki Swift,PLATINUM,451399,28979,Petrol,1st Owner,2014,Maruti
531,Maruti Suzuki Eeco,PLATINUM,494099,27150,Petrol,1st Owner,2019,Maruti
532,Ford EcoSport,PLATINUM,1240899,3195,Petrol,1st Owner,2020,Ford
533,Hyundai Eon Era,PLATINUM,286199,26761,Petrol,1st Owner,2013,Hyundai
534,Hyundai Grand i10,PLATINUM,509399,71992,Petrol,2nd Owner,2017,Hyundai
535,Maruti Suzuki Alto,PLATINUM,378099,27239,Petrol,2nd Owner,2016,Maruti
536,Honda Jazz,PLATINUM,586699,36244,Petrol,2nd Owner,2016,Honda
537,Maruti Suzuki Vitara,PLATINUM,906899,69807,Diesel,2nd Owner,2019,Maruti
538,Maruti Suzuki Vitara,PLATINUM,882199,31803,Diesel,2nd Owner,2019,Maruti
539,Honda Jazz,PLATINUM,507999,92373,Petrol,1st Owner,2015,Honda
540,Toyota Etios GD,GOLD,240000,200000,Diesel,2nd Owner,2013,Toyota
541,Ford EcoSport Titanium,GOLD,825000,46000,Diesel,2nd Owner,2016,Ford
542,Toyota Innova 2.5,GOLD,845000,179000,Diesel,2nd Owner,2011,Toyota
543,Hyundai Grand i10,GOLD,475000,59000,Petrol,2nd Owner,2016,Hyundai
544,Hyundai Creta 1.6,GOLD,1325000,72000,Diesel,2nd Owner,2017,Hyundai
545,Hyundai Creta 1.6,GOLD,1245000,56000,Diesel,2nd Owner,2017,Hyundai
546,Mahindra XUV 500,GOLD,975000,87000,Diesel,2nd Owner,2014,Mahindra
547,Maruti Suzuki Vitara,PLATINUM,782999,59612,Diesel,2nd Owner,2016,Maruti
548,Ford Ecosport,PLATINUM,623399,30212,Petrol,2nd Owner,2014,Ford
549,Maruti Suzuki Ignis,PLATINUM,548699,18113,Petrol,2nd Owner,2018,Maruti
550,Maruti Suzuki Alto,PLATINUM,397099,48435,Petrol,2nd Owner,2018,Maruti
551,Maruti Suzuki Wagon,PLATINUM,392099,29297,Petrol,1st Owner,2015,Maruti
552,Maruti Suzuki Wagon,PLATINUM,354599,53525,Petrol,2nd Owner,2012,Maruti
553,Honda Amaze,PLATINUM,719599,15890,Petrol,1st Owner,2018,Honda
554,Honda WR V,PLATINUM,834099,31694,Petrol,1st Owner,2019,Honda
555,Maruti Suzuki Alto,PLATINUM,365899,36279,Petrol,2nd Owner,2017,Maruti
556,Hyundai i10 Sportz,PLATINUM,400899,33349,Petrol,1st Owner,2015,Hyundai
557,Toyota Etios Liva,PLATINUM,320199,103182,Petrol,1st Owner,2012,Toyota
558,Hyundai Xcent S,PLATINUM,457399,63048,Petrol,2nd Owner,2016,Hyundai
559,Maruti Suzuki Baleno,PLATINUM,717699,26358,Petrol,2nd Owner,2017,Maruti
560,Maruti Suzuki Wagon,PLATINUM,417299,18932,Petrol,1st Owner,2017,Maruti
561,Maruti Suzuki Alto,PLATINUM,323199,20369,Petrol,2nd Owner,2018,Maruti
562,Honda Jazz 1.2,PLATINUM,633999,58769,Petrol,1st Owner,2016,Honda
563,Ford EcoSport Trend,GOLD,600000,52000,Diesel,2nd Owner,2016,Ford
564,Volkswagen Polo Highline,GOLD,795000,15000,Petrol,2nd Owner,2019,Volkswagen
565,Maruti Suzuki Vitara,GOLD,1000000,70000,Diesel,2nd Owner,2019,Maruti
566,Hyundai i20 Asta,GOLD,385000,52000,Petrol,2nd Owner,2012,Hyundai
567,Hyundai i20 Asta,GOLD,395000,32000,Petrol,2nd Owner,2013,Hyundai
568,Toyota Fortuner 3.0,GOLD,1750000,155000,Diesel,2nd Owner,2015,Toyota
569,Maruti Suzuki Swift,GOLD,600000,50000,Petrol,2nd Owner,2017,Maruti
570,Mahindra Verito Executive,GOLD,330000,120000,Diesel,2nd Owner,2015,Mahindra
571,Hyundai Creta 1.6,PLATINUM,875999,123920,Diesel,1st Owner,2017,Hyundai
572,Hyundai EON,PLATINUM,309399,17900,Petrol,3rd Owner,2016,Hyundai
573,Maruti Suzuki Baleno,PLATINUM,658999,31041,Petrol,1st Owner,2017,Maruti
574,Maruti Suzuki Wagon,PLATINUM,514099,61875,Petrol,2nd Owner,2018,Maruti
575,Hyundai Elite i20,PLATINUM,672899,29210,Petrol,2nd Owner,2016,Hyundai
576,Mahindra TUV300,PLATINUM,620099,35826,Diesel,1st Owner,2016,Mahindra
577,Ford Freestyle,PLATINUM,733999,29364,Petrol,2nd Owner,2019,Ford
578,Renault Triber,PLATINUM,664699,16304,Petrol,1st Owner,2021,Renault
579,Maruti Suzuki Swift,PLATINUM,454299,95731,Petrol,2nd Owner,2015,Maruti
580,Maruti Suzuki Swift,PLATINUM,357499,31011,Petrol,2nd Owner,2010,Maruti
581,Maruti Suzuki Swift,PLATINUM,447599,30601,Petrol,1st Owner,2014,Maruti
582,Maruti Suzuki S,PLATINUM,422299,14568,Petrol,1st Owner,2019,Maruti
583,Toyota Etios V,PLATINUM,449699,89559,Petrol,2nd Owner,2012,Toyota
584,Hyundai Grand i10,PLATINUM,493499,48834,Petrol,2nd Owner,2014,Hyundai
585,Hyundai Elite i20,PLATINUM,605699,74190,Diesel,2nd Owner,2014,Hyundai
586,Ford EcoSport Titanium,PLATINUM,755099,43077,Petrol,2nd Owner,2016,Ford
587,Maruti Suzuki Swift,GOLD,490000,58000,Petrol,2nd Owner,2015,Maruti
588,Honda City 1.5,GOLD,450000,99000,Petrol,2nd Owner,2011,Honda
589,Tata Indigo CS,GOLD,160000,88500,Diesel,2nd Owner,2009,Tata
590,Chevrolet Beat LT,GOLD,215000,85000,Diesel,2nd Owner,2012,Chevrolet
591,Honda City ZX,GOLD,1150000,29000,Petrol,2nd Owner,2019,Honda
592,Maruti Suzuki Wagon,GOLD,349000,65000,Petrol,2nd Owner,2015,Maruti
593,MG Motors Hector,GOLD,1401000,16000,Petrol,1st Owner,2020,MG
594,MG Motors Hector,GOLD,1401000,16000,Petrol,1st Owner,2020,MG
595,Maruti Suzuki Eeco,PLATINUM,432699,17981,Petrol,2nd Owner,2018,Maruti
596,Maruti Suzuki Eeco,PLATINUM,418599,20780,Petrol,2nd Owner,2018,Maruti
597,Maruti Suzuki Alto,PLATINUM,275799,56719,Petrol,2nd Owner,2014,Maruti
598,Maruti Suzuki Wagon,PLATINUM,456199,31108,Petrol,2nd Owner,2015,Maruti
599,Honda City,PLATINUM,728499,33611,Petrol,2nd Owner,2016,Honda
600,Maruti Suzuki Alto,PLATINUM,431599,43700,Petrol,2nd Owner,2019,Maruti
601,Maruti Suzuki Ignis,PLATINUM,533099,49920,Petrol,2nd Owner,2017,Maruti
602,Maruti Suzuki Swift,PLATINUM,451399,57338,Petrol,1st Owner,2014,Maruti
603,Hyundai Venue S,PLATINUM,840699,23096,Petrol,1st Owner,2020,Hyundai
604,Maruti Suzuki Swift,PLATINUM,486499,48732,Petrol,1st Owner,2016,Maruti
605,Honda City,PLATINUM,450199,67924,Petrol,1st Owner,2012,Honda
606,Maruti Suzuki Wagon,PLATINUM,418999,30418,Petrol,2nd Owner,2014,Maruti
607,Honda City,PLATINUM,621299,50593,Petrol,2nd Owner,2014,Honda
608,Hyundai i20 Active,PLATINUM,508399,136381,Petrol,2nd Owner,2016,Hyundai
609,Maruti Suzuki Celerio,PLATINUM,390999,46943,Petrol,2nd Owner,2015,Maruti
610,Maruti Suzuki Swift,PLATINUM,675099,36277,Petrol,2nd Owner,2017,Maruti
611,BMW X5 xDrive30d,GOLD,3600000,110000,Diesel,2nd Owner,2014,BMW
612,Kia Seltos HTX,GOLD,1501000,5600,Diesel,1st Owner,2021,Kia
613,Maruti Suzuki Swift,GOLD,825000,44000,Diesel,2nd Owner,2019,Maruti
614,Maruti Suzuki Ertiga,GOLD,1100000,40000,Petrol,2nd Owner,2019,Maruti
615,Kia Seltos HTX,GOLD,1501000,5600,Diesel,1st Owner,2021,Kia
616,Maruti Suzuki Wagon,GOLD,130000,45000,Petrol,2nd Owner,2007,Maruti
617,Toyota Etios GD,GOLD,325000,150000,Diesel,2nd Owner,2012,Toyota
618,Tata Indigo CS,GOLD,210000,90000,Diesel,2nd Owner,2016,Tata
619,Hyundai Xcent,PLATINUM,464199,70359,Diesel,2nd Owner,2015,Hyundai
620,Hyundai EON Era,PLATINUM,343999,42205,Petrol,2nd Owner,2017,Hyundai
621,Nissan Micra,PLATINUM,441499,60539,Petrol,2nd Owner,2015,Nissan
622,Maruti Suzuki Dzire,PLATINUM,684999,16533,Petrol,2nd Owner,2019,Maruti
623,Volkswagen Polo,PLATINUM,815399,26596,Petrol,2nd Owner,2017,Volkswagen
624,Hyundai Grand i10,PLATINUM,468999,30912,Petrol,2nd Owner,2016,Hyundai
625,Hyundai Venue,PLATINUM,1194799,17951,Diesel,2nd Owner,2019,Hyundai
626,Volkswagen Polo,PLATINUM,599899,36928,Petrol,2nd Owner,2015,Volkswagen
627,Maruti Suzuki Dzire,PLATINUM,710199,22854,Petrol,2nd Owner,2018,Maruti
628,Hyundai i20,PLATINUM,474399,89156,Petrol,1st Owner,2014,Hyundai
629,Maruti Suzuki Baleno,PLATINUM,701399,41999,Petrol,2nd Owner,2019,Maruti
630,Honda City,PLATINUM,834599,66145,Petrol,2nd Owner,2017,Honda
631,Maruti Suzuki Alto,PLATINUM,333699,29157,Petrol,2nd Owner,2017,Maruti
632,Hyundai EON Era,PLATINUM,349799,33882,Petrol,2nd Owner,2017,Hyundai
633,Hyundai EON Era,PLATINUM,286199,29379,Petrol,2nd Owner,2013,Hyundai
634,Maruti Suzuki Alto,PLATINUM,386699,17352,Petrol,2nd Owner,2019,Maruti
635,Toyota Fortuner 3.0,GOLD,1050000,195000,Diesel,2nd Owner,2011,Toyota
636,Maruti Suzuki Swift,GOLD,695000,16189,Petrol,2nd Owner,2020,Maruti
637,Maruti Suzuki Swift,GOLD,695000,41341,Diesel,2nd Owner,2018,Maruti
638,Tata Tiago Revotorq,GOLD,550000,62000,Diesel,2nd Owner,2019,Tata
639,Hyundai Creta 1.6,GOLD,1300000,19000,Diesel,1st Owner,2021,Hyundai
640,Maruti Suzuki Ritz,GOLD,225000,56000,Petrol,2nd Owner,2011,Maruti
641,Maruti Suzuki Wagon,GOLD,250000,91000,Petrol,2nd Owner,2010,Maruti
642,Renault Triber,PLATINUM,659199,13486,Petrol,1st Owner,2019,Renault
643,Hyundai Grand i10,PLATINUM,572599,33562,Petrol,2nd Owner,2018,Hyundai
644,Hyundai Verna,PLATINUM,1171199,13691,Petrol,2nd Owner,2018,Hyundai
645,Hyundai Grand i10,PLATINUM,557199,31980,Petrol,2nd Owner,2017,Hyundai
646,Hyundai Grand i10,PLATINUM,531399,69526,Petrol,2nd Owner,2016,Hyundai
647,Maruti Suzuki Alto,PLATINUM,426199,21492,Petrol,2nd Owner,2016,Maruti
648,Maruti Suzuki Celerio,PLATINUM,432999,47425,Petrol,1st Owner,2016,Maruti
649,Hyundai Grand i10,PLATINUM,458399,40988,Petrol,2nd Owner,2016,Hyundai
650,Jeep Compass,PLATINUM,1465199,51983,Diesel,2nd Owner,2018,Jeep
651,Maruti Suzuki Vitara,PLATINUM,783099,69376,Diesel,2nd Owner,2018,Maruti
652,Maruti Suzuki Swift,PLATINUM,562399,33094,Petrol,2nd Owner,2017,Maruti
653,Tata Tiago,PLATINUM,529199,26237,Petrol,3rd Owner,2017,Tata
654,Honda Brio,PLATINUM,447199,42415,Petrol,1st Owner,2015,Honda
655,Hyundai Creta,PLATINUM,944099,112308,Diesel,2nd Owner,2016,Hyundai
656,Maruti Suzuki Celerio,PLATINUM,452099,61427,Petrol,1st Owner,2017,Maruti
657,MG Motors Hector,PLATINUM,1917599,10205,Diesel,2nd Owner,2019,MG
658,Maruti Suzuki Alto,GOLD,179000,67000,Petrol,2nd Owner,2011,Maruti
659,Toyota Innova 2.5,GOLD,775000,160000,Diesel,2nd Owner,2010,Toyota
660,Maruti Suzuki Ertiga,GOLD,425000,53000,Diesel,2nd Owner,2013,Maruti
661,Maruti Suzuki Swift,GOLD,550000,59888,Petrol,2nd Owner,2017,Maruti
662,Maruti Suzuki Ciaz,GOLD,795000,58492,Petrol,1st Owner,2018,Maruti
663,Honda City 1.5,GOLD,350888,45000,Petrol,1st Owner,2011,Honda
664,Maruti Suzuki Swift,GOLD,275000,48000,Diesel,2nd Owner,2012,Maruti
665,Tata Nexon XZ,GOLD,890000,34000,Petrol,2nd Owner,2018,Tata
666,Maruti Suzuki Swift,PLATINUM,580599,75691,Diesel,2nd Owner,2017,Maruti
667,Maruti Suzuki Alto,PLATINUM,223299,84301,Petrol,3rd Owner,2013,Maruti
668,Tata Tiago,PLATINUM,600399,38346,Petrol,2nd Owner,2019,Tata
669,Maruti Suzuki Alto,PLATINUM,367399,41530,Petrol,2nd Owner,2017,Maruti
670,Ford Ecosport,PLATINUM,704099,23049,Petrol,2nd Owner,2017,Ford
671,Maruti Suzuki Wagon,PLATINUM,377899,74510,Petrol,1st Owner,2016,Maruti
672,Maruti Suzuki Wagon,PLATINUM,458699,20141,Petrol,2nd Owner,2016,Maruti
673,Ford Ecosport,PLATINUM,566199,85860,Petrol,2nd Owner,2015,Ford
674,Maruti Suzuki Swift,PLATINUM,594599,63133,Diesel,1st Owner,2017,Maruti
675,Maruti Suzuki Dzire,PLATINUM,678699,71894,Petrol,2nd Owner,2018,Maruti
676,Renault Duster,PLATINUM,883099,95627,Diesel,2nd Owner,2017,Renault
677,Ford Ecosport,PLATINUM,578099,75324,Diesel,2nd Owner,2014,Ford
678,Maruti Suzuki Alto,PLATINUM,305899,64611,Petrol,2nd Owner,2015,Maruti
679,Maruti Suzuki Celerio,PLATINUM,457399,77128,Petrol,3rd Owner,2016,Maruti
680,Maruti Suzuki Alto,PLATINUM,316799,36306,Petrol,1st Owner,2016,Maruti
681,Hyundai i20 Asta,PLATINUM,399999,83803,Petrol,1st Owner,2011,Hyundai
682,Mahindra XUV 500,GOLD,1100000,44000,Diesel,1st Owner,2018,Mahindra
683,Mahindra KUV100 K4,GOLD,325000,108000,Diesel,2nd Owner,2018,Mahindra
684,Hyundai i20 Era,GOLD,550000,55000,Diesel,2nd Owner,2018,Hyundai
685,Honda City 1.5,GOLD,990888,700,Petrol,1st Owner,2020,Honda
686,Mahindra Jeep CL,GOLD,480000,25,Diesel,2nd Owner,2020,Mahindra
687,Maruti Suzuki Gypsy,GOLD,500000,258,Petrol,2nd Owner,2018,Maruti
688,Maruti Suzuki Swift,GOLD,390000,81152,Diesel,2nd Owner,2011,Maruti
689,Toyota Fortuner 3.0,GOLD,1750000,155000,Diesel,2nd Owner,2015,Toyota
690,Hyundai i20 Asta,PLATINUM,399999,83803,Petrol,1st Owner,2011,Hyundai
691,Hyundai Creta 1.6,PLATINUM,841499,75398,Petrol,2nd Owner,2017,Hyundai
692,Honda City ZX,PLATINUM,1016899,42317,Petrol,1st Owner,2017,Honda
693,Maruti Suzuki Swift,PLATINUM,748599,60214,Diesel,2nd Owner,2018,Maruti
694,Maruti Suzuki Swift,PLATINUM,622099,58861,Diesel,2nd Owner,2017,Maruti
695,Volkswagen Polo,PLATINUM,530699,27995,Petrol,2nd Owner,2016,Volkswagen
696,Maruti Suzuki Celerio,PLATINUM,471899,61018,Petrol,2nd Owner,2017,Maruti
697,Maruti Suzuki Swift,PLATINUM,505399,67109,Petrol,2nd Owner,2015,Maruti
698,Maruti Suzuki Wagon,PLATINUM,460299,81811,Petrol,2nd Owner,2017,Maruti
699,Hyundai Verna 1.6,PLATINUM,683999,27357,Petrol,1st Owner,2017,Hyundai
700,Volkswagen Polo HIGHLINE1.2L,PLATINUM,639699,53293,Petrol,3rd Owner,2018,Volkswagen
701,Maruti Suzuki Celerio,PLATINUM,510499,45260,Petrol,2nd Owner,2017,Maruti
702,Hyundai Venue,PLATINUM,1185499,3139,Petrol,2nd Owner,2019,Hyundai
703,Maruti Suzuki Celerio,PLATINUM,471899,44690,Petrol,1st Owner,2017,Maruti
704,Hyundai Santro ASTA,PLATINUM,579899,13858,Petrol,1st Owner,2019,Hyundai
705,Maruti Suzuki Alto,PLATINUM,333699,25256,Petrol,2nd Owner,2017,Maruti
706,Hyundai i20 Magna,GOLD,385000,94000,Diesel,2nd Owner,2012,Hyundai
707,Maruti Suzuki Ciaz,GOLD,590000,44100,Hybrid,1st Owner,2016,Maruti
708,Honda Amaze 1.2,GOLD,375888,47000,Petrol,1st Owner,2016,Honda
709,Hyundai Santa Fe,GOLD,775000,126000,Diesel,2nd Owner,2012,Hyundai
710,Mahindra XUV 500,GOLD,778888,46000,Diesel,1st Owner,2015,Mahindra
711,Audi Q5 2.0,GOLD,1850000,75000,Diesel,2nd Owner,2014,Audi
712,Mercedes Benz GLE,GOLD,7500000,35000,Petrol,2nd Owner,2019,Mercedes
713,Volvo XC60 D3,GOLD,1750000,86000,Diesel,2nd Owner,2012,Volvo
714,Volkswagen Polo COMFORTLINE,PLATINUM,582899,15227,Petrol,1st Owner,2017,Volkswagen
715,Volkswagen Polo,PLATINUM,414099,87375,Diesel,1st Owner,2014,Volkswagen
716,Maruti Suzuki Eeco,PLATINUM,516599,7679,Petrol,2nd Owner,2020,Maruti
717,Maruti Suzuki Alto,PLATINUM,366299,48378,Petrol,1st Owner,2016,Maruti
718,Maruti Suzuki Wagon,PLATINUM,375899,54645,Petrol,1st Owner,2014,Maruti
719,Maruti Suzuki Eeco,PLATINUM,493899,7211,Petrol,1st Owner,2019,Maruti
720,Datsun Redi GO,PLATINUM,311399,37217,Petrol,2nd Owner,2017,Datsun
721,Maruti Suzuki Eeco,PLATINUM,493899,32372,Petrol,1st Owner,2019,Maruti
722,Maruti Suzuki Wagon,PLATINUM,501999,37947,Petrol,2nd Owner,2018,Maruti
723,Hyundai Grand i10,PLATINUM,409399,51886,Petrol,2nd Owner,2014,Hyundai
724,Toyota Innova Crysta,PLATINUM,1737899,43187,Diesel,2nd Owner,2018,Toyota
725,Hyundai i20 Active,PLATINUM,583999,33616,Diesel,1st Owner,2015,Hyundai
726,Volkswagen Vento,PLATINUM,654299,91087,Diesel,1st Owner,2015,Volkswagen
727,Ford Ecosport,PLATINUM,986699,26372,Petrol,2nd Owner,2018,Ford
728,Maruti Suzuki Celerio,PLATINUM,414199,58762,Petrol,1st Owner,2014,Maruti
729,Hyundai Elite i20,PLATINUM,588099,101920,Diesel,2nd Owner,2016,Hyundai
730,Maruti Suzuki Swift,GOLD,490000,44000,Petrol,2nd Owner,2014,Maruti
731,Mahindra Scorpio 2.6,GOLD,225000,85000,Diesel,2nd Owner,2007,Mahindra
732,Maruti Suzuki Vitara,GOLD,775000,64000,Diesel,2nd Owner,2017,Maruti
733,Kia Sonet,GOLD,1050000,13000,Diesel,2nd Owner,2021,Kia
734,Honda Amaze 1.5,GOLD,425000,76000,Diesel,2nd Owner,2015,Honda
735,Maruti Suzuki Alto,GOLD,275000,45000,Petrol,2nd Owner,2015,Maruti
736,Tata Nexon XZ,GOLD,875000,63088,Diesel,2nd Owner,2019,Tata
737,Maruti Suzuki Alto,GOLD,250000,54123,Petrol,2nd Owner,2013,Maruti
738,Hyundai i20 Active,PLATINUM,567399,35140,Petrol,2nd Owner,2015,Hyundai
739,Maruti Suzuki Ciaz,PLATINUM,805099,50842,Diesel,2nd Owner,2018,Maruti
740,Honda Amaze,PLATINUM,492199,43412,Petrol,1st Owner,2015,Honda
741,Honda Jazz,PLATINUM,495799,46201,Petrol,1st Owner,2016,Honda
742,Maruti Suzuki S,PLATINUM,1113599,63626,Diesel,2nd Owner,2017,Maruti
743,Maruti Suzuki Alto,PLATINUM,299999,18251,Petrol,1st Owner,2016,Maruti
744,Maruti Suzuki Baleno,PLATINUM,592099,41019,Petrol,2nd Owner,2016,Maruti
745,Renault Kwid RXT,PLATINUM,322299,46463,Petrol,1st Owner,2015,Renault
746,Renault Kwid,PLATINUM,481999,20110,Petrol,2nd Owner,2017,Renault
747,Hyundai Grand i10,PLATINUM,534599,17364,Petrol,2nd Owner,2016,Hyundai
748,MG Motors Hector,PLATINUM,1681899,6760,Petrol,2nd Owner,2020,MG
749,Maruti Suzuki Celerio,PLATINUM,429599,35109,Petrol,2nd Owner,2016,Maruti
750,Honda Amaze,PLATINUM,723799,44266,Petrol,2nd Owner,2018,Honda
751,Volkswagen Polo,PLATINUM,563299,39156,Petrol,2nd Owner,2017,Volkswagen
752,Maruti Suzuki Alto,PLATINUM,214199,57993,Petrol,3rd Owner,2011,Maruti
753,Maruti Suzuki Alto,PLATINUM,319399,51573,Petrol,2nd Owner,2015,Maruti
754,Fiat Punto Emotion,GOLD,180000,88000,Petrol,2nd Owner,2011,Fiat
755,Hyundai i20 Sportz,GOLD,415000,67000,Petrol,2nd Owner,2014,Hyundai
756,Maruti Suzuki Swift,GOLD,350000,73000,Diesel,2nd Owner,2011,Maruti
757,Hyundai Elite i20,GOLD,430000,39000,Petrol,2nd Owner,2015,Hyundai
758,Mahindra XUV 500,GOLD,450000,87500,Diesel,2nd Owner,2012,Mahindra
759,Honda Accord 2.4,GOLD,325000,86000,Petrol,2nd Owner,2006,Honda
760,Hyundai Grand i10,GOLD,565000,19900,Petrol,2nd Owner,2017,Hyundai
761,Nissan Terrano XV,GOLD,880000,22000,Diesel,2nd Owner,2013,Nissan
762,Maruti Suzuki Vitara,PLATINUM,810399,78329,Diesel,2nd Owner,2016,Maruti
763,Maruti Suzuki Ertiga,PLATINUM,788999,61977,Diesel,1st Owner,2016,Maruti
764,Mahindra KUV100 K6,PLATINUM,508799,58640,Diesel,1st Owner,2016,Mahindra
765,Renault Kwid,PLATINUM,457099,40650,Petrol,1st Owner,2018,Renault
766,Volkswagen Polo,PLATINUM,612899,19121,Petrol,2nd Owner,2019,Volkswagen
767,Ford Ecosport,PLATINUM,684099,85893,Diesel,2nd Owner,2016,Ford
